000092B4 000063B5 00018264 00003D97 00037E85 00016F5D 00031AEA 00013475 0001E37F 000373BD 00018BB0 0001DEA8 00008AF9 000196A3 00032255 0000CE21
0000593E 0001A3A2 00009A40 0000C547 0002C9EE 000228FE 00010B59 000189A9 00026089 00010338 00019371 00031311 00038F06 0001A3F2 00001E9A 000074D7
00038850 0001E838 00008EA8 0001DB26 00038153 000241BE 0002BCD9 00035E39 0002AABC 000044DD 0001A8A4 0000EA4D 0001DAC3 0002A5C3 0003FFA6 000237C0
0003E423 00022C25 00014337 00003599 0001967C 0002D140 000370DF 00028EBB 0001159F 00011B14 00010FC6 00020BE1 0001BD5C 00025339 000302DE 0000A202
0002E097 00018873 00020CB8 0001F3C5 0003EB81 0000D62E 0002FBD3 0001874D 0000596C 0001A1FE 0000CD86 00020996 0003DA5F 00010A1C 0001EBEE 00028C57
00028261 0001638A 000018FC 000100E3 0003F500 00015937 0001A6E3 00000832 000099A5 0002039F 0000ACB9 0002C174 0003A5C6 00000F89 0001FF36 000126E7
00034F59 0003F578 0001B6DB 000001D8 000037F2 000216DD 0000F6BE 00023C4F 000257E7 0003A948 0001C950 00016DBE 0001ED5B 000287BD 000226F1 0003642D
00019D3B 0002A730 0002EE58 000119E5 0003A245 0003CD90 000259BF 0003D8B5 00037B79 00020CD9 0002A82E 0001B1C0 000323E2 0002E87A 00031882 0001D65D
0003F3DD 00028C40 0001CDC0 00031A70 0002CA48 0003DD1E 0002C6AA 0003A5E1 000315AC 00016FF8 000194FD 0003C1B2 0000DDD6 0002EE50 00014C86 0002E768
0001790B 00020E3B 000123B7 00034920 0003AF63 00008A49 00026963 00012177 00017C3E 00038B2B 0003489C 0002E0D2 0003EE27 0002F9E2 00021678 000285D1
00020B3D 00035734 0000A7BD 00009540 0000DFDF 00002A72 00033284 00030C27 0001E231 00034808 00009518 0003091E 00029B5B 00004854 00013636 0002D5A3
00028FEE 000267EF 00003EF3 00035649 00038D07 000003B9 00015E1D 0001CE00 000244BF 0003BABF 00015402 00001D70 0001A654 0000C2FF 000047B5 000232E6
000378DA 00029C4E 0001B638 0003491D 00012D47 00007562 000113FD 000014C1 00012F8E 00035587 0000A0B4 0001962B 000331FB 0001001B 00038BCB 0001B436
0003B9AA 00018A34 0002DE1D 00022DAE 0000A8E5 0002ED7F 00017CF1 0002B031 0002908B 0002E29D 00015EF1 00035C11 00021642 0003FBF4 00032D9F 0002AF42
000031A8 0003131C 00014774 00006BF7 0002ABF9 00026F3B 00039022 00037B63 00022201 0003DFB1 00036022 0003D3B1 0003E2E3 00006841 000270A3 00023B76
0000226A 00007301 00005FAB 00028552 00020B3D 000141EA 00036FF5 0002AEAE 0002CAF8 0000EBE7 00002163 00037E51 00035E5E 0003477B 000013C0 0000FFDC
0000FE61 0001172F 00011FF4 00005E97 0000C469 0002DAB5 0001620D 000092D9 0003A91A 0001391C 00019F9C 0002FB2A 0001F7DC 000017A7 0000F214 00009411
0003FDF6 0000024A 00016FDB 0002D53D 00028EC9 00038276 0003BE16 0001EE47 0001AE42 0000B68E 00011190 0000F0CD 00031D88 0002EC1D 0001D2A8 00036DEB
00026837 00016FF9 00024F60 000235B3 0000664C 0003444C 00034C18 0003C27A 000320D1 00017316 0000D1A8 00037EFE 00021F9E 00022689 0003E608 00002E6A
0002B35D 0000AF93 0001B7FF 0003D32A 0003F075 00001A58 00035F61 000381F6 0002D89E 0001E6C7 00008B51 000287EB 00034258 00038191 0003C81F 0000F167
0002AE06 0001D501 0002A718 0002FB69 0003CD9E 00029550 0002B2A0 0002C6B2 0003EDA7 0002D661 0003B6B0 0000AA3E 000255C2 00012950 0003705C 0003E16A
00038F64 0001494E 0002EA68 000016A2 0002C41F 0002C4AA 00004E6D 0001BE78 0003B52D 0003E4A4 000219C9 00029433 00014FF3 00037ABA 00008711 0001793C
0003BEC7 0003EE02 0001C2D7 00004446 00015C44 00008EF4 00028D20 0003C437 00004869 0002F597 00018704 00000703 0000D556 0001F0AC 000347F2 0001CD41
00030C4E 0000F79E 00004779 0000A41B 00029128 000173E4 000145A5 000023AD 00018F9C 0002BE1F 0002787D 0003956E 0003F0ED 000319C2 00009C73 00031F4D
000367DE 0002F086 000169B3 0000808D 0003732E 0000C6F8 00004E07 00039C93 00019EC7 0003278D 000289A7 00021104 0002A0D7 00011B0A 0003911D 00038504
00025DFF 0001C638 0000F5AF 00038FD7 000168FC 00005F5A 0002F037 0002875D 0003FFAB 00010D10 0000E01E 0000E31F 0001714C 00012949 00007E54 00019DC5
0001F14F 000205F5 00027C0E 0003A4A1 000177D3 00035C7B 0002E791 0001C935 00031F96 0003B168 0003DA37 00039936 0003E795 000300C7 0000DC20 0000A774
0001B78F 00025613 00004096 00004021 0002D10E 000182C1 0001807B 0001D7AB 00003B07 00020EA6 00038964 0003E2E0 0003CAFC 000148BC 00017B9A 0001F193
00028B0B 000159EA 00035D4B 0000B174 0003856B 0003C6C8 00032B39 0002AD2F 0001CADE 00009997 00005BFA 0001CAD6 0000B2E5 0002EB91 00021C42 000075C6
000012A3 00029351 00017DDA 00020873 0000FB7A 0000AE27 00037A76 00018A18 000329B7 0000D9D8 0000AE2B 0001F0C3 0002672B 0003D076 0000797E 00014326
0003F8B8 00008C67 00031278 00019A71 0000CFC7 00007B97 00007947 0000BCF1 00031168 0003FAE9 00029BA4 0000A37A 0002290B 00003367 000066D0 0003FEA3
0002D111 0000949E 00025E2B 00036823 0002D41E 0003AA13 00035A13 00002070 0001F8B2 0003AE01 000150C9 0003860B 00018824 0002DCC6 0000B12E 00038D66
00015AF7 0002546C 00021BDD 00036CCC 00019E72 000109E4 0003175D 000309EF 00038B8B 00018273 00027FB0 000028F8 0002AE56 00014066 000001F3 000136A3
000026C0 0003744A 0001BBD1 0000429A 0001C383 0001AA45 0003C595 0000AAD0 00025E0A 00005628 000048DD 00024854 00030913 0001D22A 00013E05 00012A2B
00032598 0003322D 00035756 0002C336 00005297 0000BBCD 00006AC4 0001CB3B 0003BB97 00016558 000110D8 0003E5A0 000187F1 000333C9 00000BD1 0000C4E8
0003E808 000142A1 00016BA6 0003B77E 0003DBE4 00021A88 000188EB 0000BFF2 0002F8F0 00001EAD 00030EEE 00029DD1 0000FC68 0003C85D 00023308 0002D35B
00030DB5 00001866 000127B9 0003BF82 0002C765 0002A5C0 0003E6A9 0003CDB2 0000AF23 000114F5 0003A618 0003272B 00000FB5 0000EAC7 0003EDCD 0001C957
00013116 0002D33D 0000FCB6 0003273B 00012B73 00038087 0000A436 0002CC73 0000E8AA 00010333 00008982 00037493 00038D97 0001EEDA 00017FF6 0000C4DE
00019FC5 000246D8 00001185 0001E197 00039688 0000D0BE 0000788E 0002E79C 00038A11 0002B338 0003BBAC 000211FA 0003C4A4 000352F3 00034908 0002E021
00020A64 00006B9B 00024767 00017A04 000091E7 0003D465 000389EB 0003F769 0000BA12 0001D8C4 00015E2B 0002DF1A 00029898 0001832E 00038C58 0003A46C
00017D7E 00002418 00020ACC 0001B51D 0003BD77 0001BB48 00031F0D 0003CF70 0001D427 00023C44 00021356 0000F128 0001C270 0003F5C8 0001EC0E 00008F28
00005A35 0003B49F 000094CE 00023FD1 000015A6 00020AED 00011457 000022F5 0000C1DA 00015A19 0000D44F 0003F5CB 0003605E 0001D49E 0000EB44 00036E62
0002DDA4 00007F52 0003AEC2 0003037C 00002BC9 000014F8 0000836B 000306B8 0001DB6A 00034DCE 00021ACA 000086E8 0001A7E0 000358C6 0001AF98 0003F62C
00008266 00012128 0001E9DC 0001F0E9 00025CAB 0002AEF9 000126BA 00039B13 0000B0D4 00026687 00034846 0002A136 0000E11D 00025AF7 00010D38 000111F1
0000F90A 00020AAB 0001067B 0003A4C1 00029C67 0002E8F5 0003AAA9 00023038 00024850 0002C24D 0002F13F 00029050 0000584D 00030B27 0002A2BB 0003E248
00038802 0003AE42 00023F10 0002CC52 0002ADC1 00039DF4 000242D8 00036B32 0001F39A 00020C91 00014BC0 00005A6D 00014D7B 0001849C 0000930B 0001C044
0003786D 0001ACD3 00010DC9 00022B27 00037BDB 00021A32 0002FFE7 00039403 00019E94 00015731 00039197 0001ADD9 0000B82D 0000B58C 0001DF1B 00036AA3
000323E2 00038721 00029A29 00031A39 0000845C 0000CF86 0002348D 0000CD6A 0000130F 00038943 0001ACC4 0003242F 00013F8B 00019718 0003C026 00036E80
0002ACD4 0002CF7F 0000B8B2 0003821F 0002458A 0001F696 0002DD18 00003EE6 00018C41 0000E69C 0002A64C 00027513 0003D6B7 00023DE6 0000AC9F 0002C390
0003CD02 0001AC47 00027015 0002C717 000209C2 00001610 0002A7C5 00001770 0002BDFC 000077AD 0000387F 0001FAA8 0003F955 00039C87 00035C95 00038977
0001E3F5 000264F2 00018B49 00028D16 00009990 000229F8 0000799B 00017F68 0002156A 00017464 0000F645 00016C91 0001422F 00005FC4 0001267A 00007B5D
0003F31B 0002A3A8 0003423B 00005D9A 00003120 0002EBFA 0002FA39 00029639 00008C0D 0000F990 0003399D 00028D54 0003B06D 00010E62 00020C9B 000041D2
00012CD2 0003F748 0000F68E 0000E38D 00037C4E 00018CD4 00038A61 00007280 00025C48 000322C7 000292F2 0003A25E 000312C6 00038B5C 00019452 0002F5CE
00009164 00021981 0003B910 00010B87 00037605 0003F5E9 0003D17B 0001642D 0002B4C0 0003B9C0 0002F061 0000E439 00003394 0001EDA3 0001E614 0003EB71
0001FCC4 00022E35 0002B74E 0003A17B 00005FB2 0000DB3D 000028E3 00031E8F 00030B81 00038A08 000182D9 0000EA4B 0003178B 0001A329 0003DACD 00024D08
0002D942 000297CA 0000C886 0003AEB9 0001708D 0002B1F1 0001DEB9 000084F2 0002A71F 0001DEF4 00001287 00010BAC 0002E96A 0002FAA3 00032231 00026AF7
00031776 00021C3B 0002F3E6 000038B9 0002954F 000199B0 00029191 00034D39 00022E7D 0002FE3E 0003978D 000239B7 000317F3 0000A62A 0002E42C 00027171
0003A327 00009C54 000016E0 000246F9 0001D903 0001B53C 00023056 00033EB8 00002A7B 0001AE9C 0002E8BE 0003BFE6 0001A7B3 00031362 0002B0F5 0000D7D1
0000DC60 00012D22 00000B96 00026BCF 0000F824 00039CBD 0002E2DF 0003216E 0002991C 0001DC2D 00004BFA 0002D7DC 0002D4E9 00001D87 0000BB4C 00038818
0002200F 000074C5 0000D101 000199EE 0002C3A7 0003AE51 0003490D 0001CBA3 000098D7 00022223 00018FD4 0002CD4D 0002790D 00032F76 0000AA72 0001F6D2
00013793 00031FF7 00001D68 0000D566 00026ED5 0001EBB4 0003E127 0003BD92 0000A5AE 0002E9C5 0001AAB9 0003EBA6 0003F7A0 000312A7 000016DA 00008E0E
0003B4CB 00037022 0000ECD0 00026ABC 000242D7 0001D4EB 0002F684 00030DDF 00012039 0002E945 00032B6A 00038C24 00009030 00032D0B 0000DA5F 0003D641
00005F45 00024439 0001A02C 00015DCE 00030E17 000269ED 00027389 0003685B 0002172E 0003BD33 0003BB47 00015602 0001D09F 00021064 0003176F 000224B4
00023AE7 00008086 00001911 00021876 0001A80B 0001E25A 00001843 0002F749 00035D67 00024A92 0003A76F 00025170 000328A5 0002584A 0002A2C2 00025FEA
00003DE4 00012435 00015C7E 0003336B 00012A26 00008A16 00000F6A 0000B7DF 00023C50 00035BE9 0001D12B 00009AE2 0001B519 0001CBEC 00019CDE 0000B187
00038EBF 000216D5 00033D1F 0002240A 00016B3D 0001EFB7 000030C6 0001D458 00020469 0002ABB9 00031880 0003CCE0 000363A1 00002273 00020A5C 00013B41
0001C339 0002F93F 0001273D 0001EECF 00024244 0001066F 0003C6EA 000251A4 000134B8 0003FDD7 0001D003 0003E83C 0001A3B8 00038254 00001A4B 0003628E
00029D34 00030BDA 00031FA4 0000C107 000206BC 0001A940 0001CE0D 00014693 00022C46 0003C8F4 0000855A 00007AD2 0000E929 0002FEFD 0001ADDC 000170B0
0002A4ED 000070CF 0002C9AA 00034A78 00008BC1 0002A147 0000F76A 0001DF35 00029678 00020600 0001915E 00019FEE 0003F9DB 0002C272 00036908 0000A5A6
00039499 0001C29C 0003E33F 00035E1D 00032DF9 00019766 000375D4 00034603 0000270E 0003AEBF 0001BA9E 0003D10C 0002CC98 00026E91 00033950 0000C275
0002639A 000070F4 0000DB5F 00031C24 0002F44F 00024580 000087FA 00026B1C 000243EC 00001C5A 00009965 0002CFCF 00015DAE 0001350D 00010BDA 00003146
0003A418 000377D9 0000F2AB 0002822B 0002E7B8 0002C157 00038400 0002E066 000192B9 000098C5 00015406 000011C1 00033A98 00016D35 000193FD 0003A1CA
00009356 0002DDAF 0002B6B3 0002A022 00003CB1 0003813D 0000660A 00006461 0001670F 0003F734 00013FF6 00017896 0003D630 000384C2 00024F79 00026945
0000A713 000157C0 00009E2B 00001B60 0000E0E9 00017EFE 0001AAEC 00018126 0001299C 0002ACFD 0003D3DE 0000E90C 0001691C 0003C3DE 0003F9C1 0003DAAD
00031D8A 0001480C 0000D5AA 0003272D 00038566 00014681 0003302F 00034D95 00020566 00012026 0001F4FD 0002BC87 0002E1E1 00014BA0 0002312C 00001224
00034C2D 000132FA 0003A4E6 000346E2 00034737 0003AC86 00032B42 00032BF7 000192DA 00028AA4 0003697B 00022800 00002ABA 0003566F 0002466C 0001AB76

00006000 0000C000 0000A000 00010000 00010000

-- OLD

0002E548 00029FA6 00010C6B 0002B5AD 00036B38 00012A90 000104E1 0002BA35 00031171 000217E8 0001E3DF 000305E4 000097D9 00032A3A 00022609 0001C569
0000E76A 0000F570 00009134 00024CD3 00035AAE 0000E58C 0000B860 0002311D 0003EC82 00029D3E 00005D72 0003FD13 00012049 0002A86F 0002E02A 000026DD
0000E76D 0001DC92 00006CF4 00002CA8 0000013E 0000C3D5 0003FA6D 0000EBC7 0001233D 00022865 00030BD5 0003DD30 00018A6A 00013868 000363A0 00031A19
0000B2F6 0002ED3D 0001B2E3 00030A39 0003D307 0001393F 00021F70 00023587 000076A8 0001AFA4 00017401 00035522 0003483C 000070C3 0002D12C 00024D2F
0001EC9A 00030602 0001DE7B 0003EC11 00009173 0001A364 00016845 00023B23 0001199E 0000ED6D 000084A6 0003C1F5 000282B9 000105C7 00036216 00019D84
000186EA 00036FE7 0002A383 0003B952 0002494B 00021560 00002794 000003B0 0002B4FE 0000ACF2 0001F7B9 0003950F 0003E377 0000E23E 0001C80E 0001DD38
0000C058 00025169 0003CB04 0002C318 00001AF3 0001B5B3 00037856 00028061 00023F90 0003E206 000321C3 0001D48A 0001561A 0002A23F 00039F59 0003D417
00028EB9 000037C4 0000FED0 0003CC83 000251EA 0001F249 00017F39 0001E492 000033F5 0000BF82 0001A254 00013E32 0002BDD9 0002EF50 000313CB 0001D69C
0000B44F 0001A2C1 000141F1 0001C138 00037BDB 00010D16 0002E3A2 0002791A 00037981 0002B818 0000F36C 0000B5E5 0003C034 0003804B 0001F591 0000497E
000000C2 00022242 00011F20 0001A841 000242B4 0003C53B 000384E9 000050C5 0002BD40 0000447C 0002709D 0002C17A 000367F6 00035B9B 000277E8 00032875
0000DA7F 0000120D 0001E35A 00011C55 0003BEC5 0000F3F2 0002B432 0003AA56 00030951 0002C394 00031C68 00007D0B 0002B2C9 00024B8A 00011C02 0001A233
00023145 0002F24E 000366A2 00026B36 00013386 000008EF 0001F072 00022561 0001DD2E 0001ACFA 00004213 0000D7CB 0003A7D6 0001491B 0003DA73 000147B0
0001C78B 0002C0FD 00024255 0002D764 00031DA5 0002C2A8 0000CB9A 00025858 00037718 0002AC8A 000123EA 000301FC 0003B0F4 0000A16C 00004C99 00039E9C
00007BDD 0001F485 00010F9E 000178C1 000046BE 0002687E 0003CFBC 0002D2FF 0000FEE4 00002B8C 0003FDB0 0002CD04 0001BAE7 00013726 0003540B 00006BE9
0002BC9E 000241EC 0002EE89 000094B2 00002781 0001F329 0002C97E 00026973 0000DC5E 0003495E 0002DD12 0002996F 0000A4C9 0001B03D 0002CA4A 000254DA
00014504 0001F994 0000172B 00032C53 00003D16 0000B069 0001F3BA 0001BFDA 0002C021 000142A4 0001C588 0000EBEA 0000235B 0002D162 00004FCE 000299B9
00005A46 00034396 00037422 00007AE4 00000B67 0003F0C9 0001F4E1 0003CC5D 0002E69F 0003BF6D 00036A20 0001DD65 00013FA0 0003F522 00019683 0002FCC4
0001B003 000344B7 000285B9 00013361 00014D15 00008C9D 000187EC 00005335 0001A6E0 00008AD6 0003B7FC 00001064 00013756 000058A3 00020573 0002876B
0001A83A 0002976E 00018C53 000371CB 00028A34 0002538E 000272FF 0002C794 0000944C 00005978 00022747 0003B4C0 00029C0D 00035B62 00038147 000225C8
0000E650 00027DA8 0001B435 0003CDE4 00008FC9 0002AD7F 0000CE84 000181A7 000234FF 0000CE49 0002B5A0 00028E86 0003CEE5 0003ED21 0003AE0B 0000B9CB
0001DD18 00004020 00026F4C 00029FFA 00003DAD 000100BD 0002553B 00022B3E 00034EBE 000361E8 0000898B 00008FED 0002FEB8 00010894 0003D8E8 0003FA71
0000648A 0000CF9F 000340C7 00015BB4 0000C021 00009521 000057BC 00032610 0001B8BA 00020605 0002E25F 00021EEF 00028CC0 00022F8A 00024668 0003E4E9
00026368 00034EC1 00037690 00028216 000122B7 000348D7 0000EE3E 0002021A 00019789 0001B590 00009F32 00034EC1 0001A119 0001E348 00020CC0 00031510
000004D2 000133CB 0003FA61 0000C186 0003D91E 0003698B 0000AC5E 0002D975 00022EAC 00030E5D 00031573 0001D33F 000301C3 0001C91A 0003D1B7 000017E2
0001D043 0002FE59 00008A6C 00003820 00000BCA 0001F450 00021DDF 0002D2EF 0003CB0E 00001407 00009628 00030C00 0000F4B6 0003CD31 000077CF 0000E615
00018DC8 000002A3 0002B19A 000113AB 00022C75 0002D8D7 0001C11E 000134AE 000396CC 0003ADC1 0001164E 00007991 0003C05D 00033C3E 000016C8 000375F8
000331E5 000033A0 00013B32 0000F330 000108FB 0000FA9F 0001B981 00021DC0 00002EEA 00020A30 0002BB75 00027722 00012FB6 0002E6F6 00007E22 00034C37
00039C96 00011857 000280D6 0003B609 0003A999 0003E978 0000FFB5 00013DF1 0003A173 0002AF4E 0001503C 0002742A 00000654 000270A2 00000855 0002D3F7
0003421E 0002011D 0002709A 0002C75F 0002C9A9 00037F59 00006035 00023F9F 00005D20 000096E2 00035DB2 00034D58 0003BE0C 000076E1 00017833 0002E1D9
00016056 0002193D 000124D0 00039DBE 0003E2F4 0001BC63 0002C08E 0000EE8D 000253F9 00033410 00032993 0001F311 00023FEE 00030FB4 00027E53 0000E057
00021A57 0002D5B3 0000D955 00010D48 0000C224 00034025 000023AB 00035128 0001EFEE 000358E1 00004A13 00035A7C 0003DBAC 00010812 0001EC23 00013651
0000A21E 0003E274 00019043 0003F683 0002F7AF 0001F681 0002A01E 000071C4 00020352 0003C076 00035C8B 00026C37 0000403B 0000AD4C 0003C575 0002A8AF
000291CC 0001728A 00029087 00027EAE 00016A27 00015145 00022BD2 000172AF 0001F9B3 0003CB4F 0000AD08 00011188 0002441F 0000CA2B 0000B742 0002BB3A
0001FDA3 00026197 00002BB8 0003F811 00010546 00011AF8 0002FFDB 0001D22C 000314DF 00039866 0003AED5 0000FE3F 00024784 000058BC 000089FB 0001907B
000390AE 00029207 000162D3 00004D02 0000E38B 00027C8D 00023EBB 0001B401 0000E95F 0003884A 0002A312 000233C5 000175D7 00029728 0003DCA5 00006663
0000EC61 0000E653 00016165 00036F90 00031AD4 0003E66E 0000DC5B 00037121 0001877D 000238AC 00027DB2 00011114 0002D473 0000868E 000305A6 0002E3A7
000378E8 00004B19 0003864D 00002B9E 00037DAD 00003746 000278A0 000020E5 0000065D 00024426 000243EE 0000CCB4 00038073 000134D1 000258B4 00007E05
00021754 00032625 00020EFB 000102EE 0002D470 00010A00 0001DD95 00030BCB 0003C7F1 0000654B 0002BE8B 00025AA5 0002F1E5 00021CB6 00031759 00017514
0002334C 00013155 00012B17 00027FC2 0002A503 0002F061 0003B9E7 00017FAC 0001FB6A 000002A7 000174FD 00011DA3 0003297E 0000A8D7 0000FB7B 00003CCB
0001D779 0003DB83 0002D1C4 0001AE4A 0003BD41 00039886 0003C99F 000313B9 00013BA1 0002F54E 00030B1A 0002BDAB 0000FF76 0000A4A8 0002C25F 000262D0
0003E7A7 00031161 000161E1 00019DFE 00030430 0002864B 0001D002 0000B942 000197FC 0000FBCE 0003CAED 0000801C 00010D87 0001517E 0002E67B 00021B5C
0002503E 0002D450 00035914 0000D760 0000B0B4 00002F7E 00006204 0003C2FD 00011B33 0002DE90 0002F195 000348E5 0001EA00 0003D05B 0000767D 000050F4
00001F32 0002A5AF 0000C0C8 00028892 0001818D 0003BC90 000290AB 0001DC3D 000009AC 00021686 00028DAE 0003D492 0003078A 00030812 00012812 0003D38F
00009CB4 0002B160 0003DA48 00004800 0000FBE4 0001A5D7 0001F797 000249F5 0001A249 0003EB3C 00014F62 00013FDB 0001DD21 00015982 000122D1 0000C96B
0000C4B3 00019ACF 0003DC7D 00020CCA 00029F5A 00015863 0001B14A 0003D373 0003CE65 00008333 0003F9AF 0000BFB2 00009E80 000385DD 000272B9 0001886B
00013BC9 0002075A 0000F342 00035E38 0000A666 0000F42A 0003B0AF 0001AB9E 00000EAA 0001DB16 00006BCD 00030C1C 00026357 00014415 00033A53 000344EA
00018A0C 00033FCA 0000F9FD 000059BE 0000621F 0002116B 0000B90F 0000CED0 0000EC98 00033D55 0002E73C 00038FBB 00035BA7 00036062 0000F054 0003C4AA
0002F888 00031981 0001769F 0003142A 0002A1F2 0003AFD4 0000864E 000063A5 0002D093 000268FA 00034AF8 0000D27C 000015AA 0002CD4D 0003B642 00028483
000169D5 0000B5B7 00026997 00010AA6 00029982 0001AB1C 000177FE 000061E6 0003F701 000196C0 00029DA7 0001BC0B 0002E416 0000AFC8 0003B6B8 0002DCE5
00005B85 00030A1B 0003C5BA 0001B0E4 00011CF9 000342E3 00038ACB 0001D00A 000034BB 00003FFD 0000F321 00029965 00039EEB 0001E156 0003DEE1 000227F6
00021840 0002B23E 0001B782 00014ABF 000316D8 0002447B 00014260 0003B7AA 00039CF9 0000A19B 000270BE 0000D223 00022CE2 00017A32 000057B0 00037EA5
0003B66D 00013BE9 00006F6E 00035E82 0003BF25 00015EC3 00015A05 0003096E 0003752A 0000122B 00020E6E 0001E7FA 000223F3 00032837 0003D109 0003071C
0002D701 0000FCBA 0003A7D8 0001957D 00010277 0002DAC3 00033F1E 0000B0E8 00005870 0001B0B4 000113E2 0001CA68 00001705 000159E4 000352AB 000389CE
0000E5DB 0003A68E 0003ABA7 000159FA 000209D0 00035312 00005029 0003D6E5 0003150C 0002DB78 000361FB 00016B0B 0001AA5D 0002C8B0 000064B9 0001E99B
00022D16 0001AE49 00017706 000092BE 0000C4AD 0002B172 0000E77F 00009CA3 0001443B 00036B0E 0002023F 0000F1EA 000178BD 00033E34 0002AC59 0003C53C
00022C13 000279CD 000258BB 0003FDA2 000391D3 00039BE7 000236B6 00036E1F 0001771E 0000A5E0 00026F7A 0003660E 00016387 0000B341 0002A14D 000037A0
000234E3 00002C70 0000286C 00023A37 0002C84B 0001BE42 00039BA8 0002734C 00001F7D 00023DAB 00005A72 0000762C 00019602 00000078 0002B3D3 0000DF6F
0002284C 0003C753 000065C6 0002EDD9 0003B34C 00035DA1 0001671B 0003469F 0000CC58 0002C889 00008A8A 0002C411 00029F6E 000162BC 0000A1D4 00034300
00039C8C 0002A381 000029F6 0003C2DD 0002C8B6 00009733 000315FF 0000669D 00005646 000342AC 0002F4AB 0003E4D9 00030A0D 0000F05D 0002D7FB 0002A9A8
000301C1 0000F48E 00003056 000314DF 000393FD 0000EF89 00000DFD 0000AEB7 000386A6 0002EF40 0001B130 00034017 00000843 000145CF 0000C26F 0001A4CB
